fuck,score=-0.120624
fucking,score=-0.113133
shit,score=-0.110044
bitch,score=-0.103248
damn,score=-0.085421
hell,score=-0.083178
bitches,score=-0.082082
ass,score=-0.080282
fucked,score=-0.080148
wtf,score=-0.077224
fuck you,score=-0.075006
fuckin,score=-0.074821
bullshit,score=-0.074243
a bitch,score=-0.071405
this shit,score=-0.069956
pissed,score=-0.069776
fucked up,score=-0.069533
piss,score=-0.062877
fuck off,score=-0.062009
kill,score=-0.061556
what the fuck,score=-0.060842
shitty,score=-0.058565
the hell,score=-0.058522
so fucking,score=-0.05835
fuck up,score=-0.057825
drunk,score=-0.056818
give a fuck,score=-0.052026
bastard,score=-0.051304
fucks,score=-0.050882
dick,score=-0.0507
f,score=-0.050502
fake,score=-0.049961
whore,score=-0.049118
pissed off,score=-0.049027
fucking hate,score=-0.048567
asshole,score=-0.048128
niggas,score=-0.047695
the fuck up,score=-0.047661
stupid,score=-0.047569
sex,score=-0.047404
as hell,score=-0.047166
dead,score=-0.047057
my ass,score=-0.0469
i hate,score=-0.046774
cunt,score=-0.046526
fucker,score=-0.045686
hate,score=-0.04557
fuckers,score=-0.045343
i fucking hate,score=-0.045108
fuckin ',score=-0.045018
to kill,score=-0.044813
the fuck is,score=-0.044645
bloody,score=-0.044484
get the fuck,score=-0.044122
wtf ?,score=-0.04389
pussy,score=-0.043575
pathetic,score=-0.0434
the fuck out,score=-0.043332
hoes,score=-0.043262
nigga,score=-0.042901
punch,score=-0.042768
stfu,score=-0.042285
like shit,score=-0.04212
suck,score=-0.041894
die,score=-0.041859
fat,score=-0.041711
swear,score=-0.041706
i swear,score=-0.041682
don't give a,score=-0.041265
shut,score=-0.041245
murder,score=-0.041123
f *,score=-0.041092
knife,score=-0.040875
*,score=-0.040701
smoke,score=-0.040652
why the fuck,score=-0.04065
shut up,score=-0.040596
wtf is,score=-0.040485
motherfucker,score=-0.040394
cum,score=-0.040384
goddamn,score=-0.040358
burn,score=-0.039965
aint,score=-0.039904
sick of,score=-0.039711
death,score=-0.039681
assholes,score=-0.039563
lmao,score=-0.03952
shut the fuck,score=-0.039294
bastards,score=-0.038863
porn,score=-0.038853
haters,score=-0.038852
rape,score=-0.038748
to piss,score=-0.037807
idiots,score=-0.03776
a bitch .,score=-0.037664
piss me,score=-0.037654
drink,score=-0.037602
damned,score=-0.037535
who the fuck,score=-0.037395
retarded,score=-0.03738
,score=
birthday wishes !,score=0.036052
at church,score=0.036221
joy,score=0.036244
grateful,score=0.036311
hope everyone,score=0.036494
so thankful,score=0.03655
had an amazing,score=0.036551
beautiful day !,score=0.036661
happy,score=0.036828
much fun,score=0.036835
of christ,score=0.03684
so excited !,score=0.036854
an amazing day,score=0.036882
isaiah,score=0.036972
a great weekend,score=0.037397
faith,score=0.037415
thank,score=0.037443
loving,score=0.037457
of the lord,score=0.037467
family,score=0.037646
friends and family,score=0.038119
spring,score=0.03818
! can't wait,score=0.038205
tomorrow,score=0.038442
a blast,score=0.038615
day today,score=0.038672
praying for,score=0.03893
birthday wishes,score=0.038949
was awesome,score=0.038959
christmas,score=0.039013
beautiful,score=0.039074
the lord is,score=0.03908
a beautiful,score=0.039221
worship,score=0.039669
praying,score=0.040041
had an awesome,score=0.040044
a beautiful day,score=0.040129
much fun !,score=0.040132
"the lord,score=",score=0.040261
awesome,score=0.04033
romans,score=0.040361
a wonderful day,score=0.040367
grace,score=0.040492
was awesome !,score=0.040579
amazing day,score=0.040586
a great time,score=0.040654
thank you lord,score=0.040798
please pray for,score=0.040923
happy thanksgiving,score=0.04147
great time,score=0.04158
love you,score=0.042026
great weekend,score=0.042072
god's,score=0.042179
so blessed,score=0.042207
wonderful day,score=0.04224
goodness,score=0.042302
please pray,score=0.042341
in the lord,score=0.042495
had a wonderful,score=0.042606
:),score=0.042709
pray,score=0.043811
beautiful day,score=0.043987
thankful for,score=0.044063
praise god,score=0.04423
prayer,score=0.044274
great day !,score=0.044518
blessings,score=0.044847
was amazing !,score=0.044886
corinthians,score=0.045006
great,score=0.045009
pray for,score=0.04512
you lord,score=0.045141
thankful,score=0.045906
god has,score=0.046074
praise,score=0.046463
church,score=0.04652
was amazing,score=0.046911
merry christmas,score=0.047137
proverbs,score=0.047549
a great day,score=0.048621
love you all,score=0.048655
so excited,score=0.048739
! thank you,score=0.048788
psalm,score=0.049001
thanksgiving,score=0.04938
in christ,score=0.049739
thank you,score=0.050974
excited for,score=0.051146
great day,score=0.052462
an amazing,score=0.052477
had a great,score=0.052764
the lord,score=0.05295
an awesome,score=0.053257
a wonderful,score=0.054659
prayers,score=0.056504
amazing,score=0.056682
wonderful,score=0.056881
a great,score=0.056981
blessed,score=0.057403
excited,score=0.059002
