xd,score=-0.104661
fucking,score=-0.096585
fuck,score=-0.090161
d:,score=-0.088635
fuck you,score=-0.072938
:d,score=-0.071737
pokemon,score=-0.070065
shit,score=-0.070013
: 3,score=-0.069785
o.o,score=-0.069741
gay,score=-0.06683
youtube,score=-0.064853
anime,score=-0.064214
<3,score=-0.063518
: o,score=-0.061586
_,score=-0.06041
>.<,score=-0.059852
-.-,score=-0.059719
bored,score=-0.059313
meh,score=-0.058316
ftw,score=-0.057998
fucked,score=-0.057651
<,score=-0.057129
^,score=-0.055854
dx,score=-0.055731
dead,score=-0.055489
:/,score=-0.055103
bitch,score=-0.0542
emo,score=-0.053079
x,score=-0.052619
^ ^,score=-0.051912
manga,score=-0.051141
kill,score=-0.050851
penis,score=-0.05084
http,score=-0.050333
so fucking,score=-0.05029
:/ /,score=-0.050253
youtube .,score=-0.050253
> . >,score=-0.050143
http :/ /,score=-0.049887
http :/,score=-0.049852
internet,score=-0.049643
cat,score=-0.049614
omfg,score=-0.049544
wtf,score=-0.049356
dick,score=-0.049163
*,score=-0.049129
xp,score=-0.049093
d:<,score=-0.048821
die,score=-0.048774
o_o,score=-0.048765
-_-,score=-0.048663
msn,score=-0.048458
facebook,score=-0.04809
x3,score=-0.047942
? v,score=-0.047814
? v =,score=-0.047626
. com /,score=-0.047301
random,score=-0.047273
com /,score=-0.047272
watch ? v,score=-0.047084
/ watch ?,score=-0.047027
com / watch,score=-0.046594
www . youtube,score=-0.046551
/ www,score=-0.046548
youtube . com,score=-0.046546
:/ / www,score=-0.046527
>:,score=-0.046513
/ www .,score=-0.046474
/ watch,score=-0.04644
. youtube,score=-0.046439
>,score=-0.046414
watch ?,score=-0.046342
mum,score=-0.04617
. youtube .,score=-0.046151
bloody,score=-0.046119
. : 3,score=-0.046104
i'd,score=-0.045695
:p,score=-0.045569
songs,score=-0.04542
dammit,score=-0.045413
goddamn,score=-0.045294
stupid,score=-0.044448
zombie,score=-0.044323
i hate,score=-0.04399
weird,score=-0.043934
computer,score=-0.043886
>:d,score=-0.043538
dunno,score=-0.043458
v =,score=-0.043149
what the fuck,score=-0.043078
annoying,score=-0.043052
unicorn,score=-0.042867
film,score=-0.042668
wanna,score=-0.042571
bieber,score=-0.042403
justin bieber,score=-0.042346
black,score=-0.042249
theres,score=-0.042232
;d,score=-0.042125
,score=
ready to get,score=0.042597
with the family,score=0.042755
strength,score=0.042766
more days,score=0.042819
a long,score=0.042881
the semester,score=0.042897
day to all,score=0.043279
then off,score=0.043387
time with my,score=0.043544
off to work,score=0.043556
classes,score=0.043709
ready for a,score=0.043711
is ready for,score=0.043755
busy day,score=0.044001
this semester,score=0.044043
ready to go,score=0.044156
had a blast,score=0.044168
then off to,score=0.044311
! thank you,score=0.044371
forward to,score=0.044612
studying for,score=0.044804
dinner with,score=0.044926
successful,score=0.044956
congrats,score=0.045011
done with,score=0.045297
for the weekend,score=0.045339
beautiful day,score=0.045403
thank you,score=0.045469
gym,score=0.045673
everyone for,score=0.045678
headed,score=0.045701
blast,score=0.045706
forward,score=0.045781
the lord,score=0.046144
thank,score=0.046464
headed to,score=0.04651
training,score=0.04672
the birthday wishes,score=0.046858
be a great,score=0.047018
enjoying,score=0.0471
birthday wishes,score=0.047129
family and friends,score=0.047187
! can't wait,score=0.047346
family,score=0.047389
work tomorrow,score=0.047502
a great time,score=0.047769
happy thanksgiving,score=0.047874
can't wait to,score=0.047946
birthday wishes !,score=0.047981
can't wait,score=0.048289
a great weekend,score=0.048394
getting ready for,score=0.048604
work,score=0.048648
the gym,score=0.048734
great time,score=0.048916
to relax,score=0.049097
so ready,score=0.049135
a long day,score=0.049136
this weekend,score=0.049371
great,score=0.049599
wait to,score=0.050001
day off,score=0.050566
time with,score=0.050728
prayers,score=0.050936
semester,score=0.051197
great weekend,score=0.051421
thankful for,score=0.051881
day at work,score=0.052066
busy,score=0.052279
finals,score=0.052307
the weekend,score=0.05233
getting ready,score=0.052418
relax,score=0.052774
ready for the,score=0.052806
weekend,score=0.053099
a blast,score=0.053441
a wonderful,score=0.055832
success,score=0.056304
blessings,score=0.056633
great day !,score=0.056652
thanksgiving,score=0.056796
had a great,score=0.05694
so excited,score=0.057509
wonderful,score=0.058354
excited,score=0.058675
vacation,score=0.060126
long day,score=0.060455
workout,score=0.062447
at work,score=0.062452
a great day,score=0.062492
ready to,score=0.062537
back to work,score=0.062615
relaxing,score=0.062928
thankful,score=0.064912
a great,score=0.065008
ready,score=0.065595
blessed,score=0.066334
great day,score=0.066488
to work,score=0.068538
ready for,score=0.070138
