u,score=-0.090361
ur,score=-0.085626
cant wait,score=-0.083149
cant,score=-0.081017
wat,score=-0.073425
dont,score=-0.070821
gud,score=-0.064033
wen,score=-0.062754
if u,score=-0.061077
ng,score=-0.058932
love u,score=-0.058625
ko,score=-0.058435
ang,score=-0.058098
coz,score=-0.057893
..,score=-0.057333
cant wait for,score=-0.057075
im,score=-0.055711
every 1,score=-0.05567
xx,score=-0.0554
nyt,score=-0.055009
:(,score=-0.054473
mga,score=-0.054072
any 1,score=-0.053574
cant wait till,score=-0.053277
xxx,score=-0.053272
nite,score=-0.05318
miss u,score=-0.05295
lng,score=-0.052947
xxxx,score=-0.052731
cant wait to,score=-0.052311
2day,score=-0.052092
:@,score=-0.052028
:) :),score=-0.051912
kau,score=-0.051141
sakit,score=-0.051066
cant wait !,score=-0.051024
nxt,score=-0.050634
? ?,score=-0.050321
xxxxx,score=-0.05015
game tonight,score=-0.049708
tym,score=-0.049676
2,score=-0.049518
had a good,score=-0.049506
bt,score=-0.049383
ako,score=-0.049267
1st,score=-0.049032
1 more,score=-0.048818
ka,score=-0.048781
dnt,score=-0.048563
x x,score=-0.048263
kaya,score=-0.048237
kita,score=-0.048179
naman,score=-0.048093
soo,score=-0.0478
yan,score=-0.047497
sana,score=-0.047475
cnt,score=-0.046923
u r,score=-0.046393
lahat,score=-0.045943
cant believe,score=-0.045854
didnt,score=-0.045787
ung,score=-0.045772
araw,score=-0.045701
happy new year,score=-0.045694
nd,score=-0.045552
alam,score=-0.0454
hirap,score=-0.045287
when u,score=-0.045109
i dont,score=-0.045064
sa lahat,score=-0.044991
nga,score=-0.044923
? ? ?,score=-0.044783
happy new,score=-0.044774
wala,score=-0.044769
im so,score=-0.044485
r,score=-0.044243
alot,score=-0.044077
!,score=-0.044009
nman,score=-0.043792
! cant wait,score=-0.04373
i cant,score=-0.043675
mong,score=-0.043633
1,score=-0.043466
pag,score=-0.043456
taong,score=-0.043403
goin to,score=-0.04322
(:,score=-0.043149
:) x,score=-0.043097
you are proud,score=-0.042928
:( (,score=-0.042837
are proud,score=-0.042804
game tomorrow,score=-0.042769
! !,score=-0.042546
hubby,score=-0.042445
na,score=-0.042435
sa mga,score=-0.042364
jst,score=-0.042354
walang,score=-0.042335
salamat,score=-0.042242
muna,score=-0.042237
,score=
moon,score=0.075681
doesn't,score=0.075891
blood,score=0.076001
reality,score=0.076068
like a,score=0.076459
though,score=0.076519
darkness,score=0.076542
world,score=0.076626
i'll be,score=0.076721
mind,score=0.076731
i can't,score=0.076813
quite,score=0.076883
;,score=0.077183
completely,score=0.077196
listening to,score=0.077276
die,score=0.07736
what's,score=0.077433
isn't,score=0.077558
where,score=0.077699
listening,score=0.077746
you know,score=0.078111
own,score=0.078148
itself,score=0.07836
fear,score=0.078468
"""",score=0.078492
nature,score=0.078506
": """,score=0.078535
sky,score=0.078621
existence,score=0.078624
sound,score=0.078692
realized,score=0.078952
reading,score=0.079091
society,score=0.079158
awesome,score=0.079304
become,score=0.07933
alive,score=0.079349
through the,score=0.079414
humanity,score=0.079843
three,score=0.08053
the sky,score=0.081037
through,score=0.08105
seems,score=0.081647
there's,score=0.082154
read,score=0.08239
myself,score=0.082639
i'm,score=0.08293
thoughts,score=0.082941
right now .,score=0.082978
into,score=0.083168
.,score=0.08347
i don't,score=0.083591
upon,score=0.08384
those,score=0.084227
sense,score=0.084269
didn't,score=0.084353
i'm not,score=0.084512
i'd,score=0.084692
dark,score=0.085289
i'm going to,score=0.085355
kind of,score=0.085685
must,score=0.085692
you're,score=0.085986
it's,score=0.086066
book,score=0.086217
i'm going,score=0.086901
kind,score=0.087048
brain,score=0.087071
books,score=0.087505
light,score=0.088453
deep,score=0.08875
shall,score=0.088795
perhaps,score=0.089744
the world,score=0.089764
human,score=0.08996
i'll,score=0.090283
we're,score=0.090482
dead,score=0.09051
evil,score=0.091331
sigh,score=0.091562
apparently,score=0.091586
zombie,score=0.091679
into the,score=0.092942
strange,score=0.093008
epic,score=0.094091
dreams,score=0.094685
poetry,score=0.095038
that's,score=0.095515
i've been,score=0.095879
death,score=0.098629
they're,score=0.099469
dream,score=0.099957
music,score=0.106949
soul,score=0.107371
the universe,score=0.107483
writing,score=0.109566
i've,score=0.111732
art,score=0.115162
universe,score=0.117249
""" -",score=0.122342
". "" -",score=0.124132
