#agitated,score=1.42991541495012
#roar,score=1.42991541495012
revving,score=1.42991541495012
#backgroundcheck,score=1.42991541495012
#hormonal,score=1.42991541495012
#hangry,score=1.42991541495012
darkside,score=1.42991541495012
#imangry,score=1.42991541495012
#point,score=1.42991541495012
times&lt,score=1.42991541495012
#pistoff,score=1.42991541495012
dents,score=1.42991541495012
mts,score=1.42991541495012
#vexed,score=1.42991541495012
#infuriated,score=1.42991541495012
#blackwidow,score=1.42991541495012
#fury,score=1.42991541495012
#fuckedoff,score=1.42991541495012
#veryangry,score=1.42991541495012
#ragemode,score=1.42991541495012
bluddy,score=1.42991541495012
#overplayed,score=1.42991541495012
#sogay,score=1.42991541495012
pantera,score=1.42991541495012
#fiesty,score=1.42991541495012
#getyourown,score=1.42991541495012
#wokemeup,score=1.42991541495012
asleeep,score=1.42991541495012
#capslock,score=1.42991541495012
#aggressive,score=1.42991541495012
tamping,score=1.42991541495012
#dontmess,score=1.42991541495012
glimpsed,score=1.42991541495012
#wegetit,score=1.42991541495012
#wecanttextif,score=1.42991541495012
#nowisthetime,score=1.42991541495012
satnav,score=1.42991541495012
#shitberry,score=1.42991541495012
#price,score=1.42991541495012
#makesmemad,score=1.42991541495012
#unreliable,score=1.42991541495012
#theworld,score=1.42991541495012
bastarding,score=1.42991541495012
#haye,score=1.42991541495012
cunting,score=1.42991541495012
#timewasters,score=1.42991541495012
bierce,score=1.42991541495012
#s5,score=1.42991541495012
#firestorm,score=1.42991541495012
lois,score=1.42991541495012
#bellend,score=1.42991541495012
tickly,score=1.42991541495012
disrupting,score=1.42991541495012
#temper,score=1.42991541495012
hsbc,score=1.42991541495012
#hateeveryone,score=1.42991541495012
#bitching,score=1.42991541495012
#agile,score=1.42991541495012
aggravates,score=1.42991541495012
#mannibalector,score=1.42991541495012
#ee,score=1.42991541495012
#heatathletics,score=1.42991541495012
#grrr,score=1.42991541495012
#furious,score=1.42959860835789
#grr,score=1.42927806629884
#hostile,score=1.42811198795097
#annoying,score=1.42794224935334
#angry,score=1.42712455320492
#annoyance,score=1.42685262541957
#hostility,score=1.42284824772703
#anger,score=1.422810154138
#fast,score=1.37891286049775
frustrate,score=1.37862212056257
#hulk,score=1.37584819367984
#irate,score=1.37584819367984
#brat,score=1.36929079313368
#rant,score=1.36700158953955
#raging,score=1.36640200922779
dumbasses,score=1.36537689381255
#ranting,score=1.36537689381255
#wrath,score=1.36537689381255
#angrytweet,score=1.36092254346317
madder,score=1.36092254346317
#dontmesswithme,score=1.3558074427964
#grrrrr,score=1.3558074427964
buffering,score=1.3558074427964
flexin,score=1.35195387348041
comcast,score=1.34987270727658
fury,score=1.34987270727658
#enraged,score=1.34290403796049
galatasary,score=1.33460523514579
incompetence,score=1.33460523514579
#attentionseeker,score=1.32455489929229
predictive,score=1.32455489929229
#tryingtosleep,score=1.32455489929229
grrrrrr,score=1.32455489929229
infuriate,score=1.32455489929229
#management,score=1.31868977983989
infuriating,score=1.31658672964312
#fustrated,score=1.31213237929374
nxa,score=1.31213237929374
simmer,score=1.31213237929374
#protective,score=1.31213237929374
