#westbank,score=1.95195360556393
#apprehension,score=1.95195360556393
#su4mh,score=1.95195360556393
aaaaaaah,score=1.95195360556393
#ied,score=1.95195360556393
#coldsweat,score=1.95195360556393
#isaf,score=1.95195360556393
cryotek,score=1.95195360556393
#rushing,score=1.95195360556393
#shy,score=1.95195360556393
#apprehensive,score=1.95195360556393
#mosul,score=1.95195360556393
#fearful,score=1.95195360556393
#ashdod,score=1.95195360556393
#socialanxiety,score=1.95195360556393
#backtrack,score=1.95195360556393
terrifies,score=1.95195360556393
#claustrophobia,score=1.95195360556393
qassam,score=1.95195360556393
#hezbollah,score=1.95195360556393
#hamas25,score=1.95195360556393
#dfw,score=1.95195360556393
#feared,score=1.95195360556393
#taliban,score=1.95195360556393
rationality,score=1.95195360556393
#israelunderfire,score=1.95195360556393
#ihatespiders,score=1.95195360556393
#pharmacy,score=1.95195360556393
#pij,score=1.95195360556393
#conquer,score=1.95195360556393
#sharia,score=1.95195360556393
#comefaster,score=1.95195360556393
#snowmageddon,score=1.95195360556393
checkpoint,score=1.95195360556393
#freakout,score=1.95195360556393
ativan,score=1.95195360556393
#bombing,score=1.95195360556393
#tweatyourfear,score=1.95195360556393
#agoraphobia,score=1.95195360556393
269,score=1.95195360556393
#bigday,score=1.95195360556393
#waitinggame,score=1.95195360556393
#biggestfear,score=1.95195360556393
#idf,score=1.95195360556393
#kirkuk,score=1.95195360556393
#eatingdisorders,score=1.95195360556393
#baghdad,score=1.95195360556393
#emetophobia,score=1.95195360556393
#bearhelp,score=1.95195360556393
#jerusalem,score=1.95195360556393
#depresson,score=1.95195360556393
alreadyyyyy,score=1.95195360556393
#publicspeaking,score=1.95195360556393
#arabs,score=1.95195360556393
#thesmiths,score=1.95195360556393
#claustrophobic,score=1.95195360556393
#warcrimes,score=1.95195360556393
#hamascelebrates,score=1.95195360556393
#suicidebombing,score=1.95195360556393
#panicking,score=1.95195360556393
#fearing,score=1.95195360556393
#hysteria,score=1.95195360556393
#ianbrown,score=1.95195360556393
ashdod,score=1.95195360556393
#stoptherockets,score=1.95195360556393
#anxious,score=1.95141946507229
#panic,score=1.95056181689111
#anxiety,score=1.94944545275672
#terror,score=1.94541763458415
#fear,score=1.94372310642742
#hamas,score=1.94078030496581
xanax,score=1.92020490724935
#doom,score=1.91686228575266
wahlberg,score=1.91273289241065
#israeli,score=1.9075018429931
#panicattack,score=1.9075018429931
panicking,score=1.89368469743996
#panicattacks,score=1.8913289837475
#cbt,score=1.8913289837475
#psychological,score=1.8913289837475
#drizzy,score=1.88296073407698
claustrophobic,score=1.87784563341021
militants,score=1.87784563341021
fearful,score=1.87784563341021
#iraq,score=1.87399206409422
#mayhem,score=1.8719108978904
#iran,score=1.8719108978904
#nervouswreck,score=1.8649422285743
#gad,score=1.8649422285743
valium,score=1.8649422285743
#drake,score=1.86340020822249
#fbi,score=1.86234144687424
#prayforme,score=1.85664342575961
iraqi,score=1.85664342575961
#seperation,score=1.85664342575961
#separation,score=1.85351353275068
panic,score=1.84862467246837
#jihad,score=1.84659308990611
#dontpanic,score=1.84659308990611
#hyperventilating,score=1.84659308990611
frantically,score=1.84072797045371
wounding,score=1.83417056990755
#mali,score=1.83417056990755
recurring,score=1.83417056990755
witherspoon,score=1.83417056990755
#terrorist,score=1.83417056990755
#stressin,score=1.83417056990755
paralysis,score=1.83417056990755
#muslim,score=1.83417056990755
#uksnow,score=1.83417056990755
caricature,score=1.83417056990755
#crisis,score=1.82679046260993
#phobia,score=1.82679046260993
#heartattack,score=1.82679046260993
#rush,score=1.82412023405405
#nervous,score=1.82309148212309
ceasefire,score=1.81842221293941
everyman,score=1.81842221293941
harlequin,score=1.81842221293941
#cramming,score=1.81842221293941
hyperventilate,score=1.81842221293941
ied,score=1.81842221293941
#danger,score=1.81842221293941
#anxietyattack,score=1.81842221293941
spillin,score=1.81842221293941
drones,score=1.81842221293941
#attack,score=1.81842221293941
panics,score=1.81842221293941
#attacks,score=1.81842221293941
praxis,score=1.81842221293941
lows,score=1.81219166318877
#paranoia,score=1.80353360044566
#riot,score=1.79780292573667
thundering,score=1.79780292573667
#cram,score=1.79780292573667
#gametime,score=1.79780292573667
#readytogo,score=1.79780292573667
#overthinker,score=1.79780292573667
shelling,score=1.79780292573667
bombers,score=1.79780292573667
#hateneedles,score=1.79780292573667
shelters,score=1.79780292573667
#elite,score=1.79780292573667
#gun,score=1.79780292573667
#badfeeling,score=1.79780292573667
finalize,score=1.79780292573667
examen,score=1.79780292573667
#tweetafear,score=1.79780292573667
biopsy,score=1.79780292573667
#pacing,score=1.79780292573667
#overcome,score=1.79780292573667
bsu,score=1.79780292573667
wracking,score=1.79780292573667
#jobinterview,score=1.79780292573667
#intimidation,score=1.79780292573667
jitters,score=1.78489952090077
#afghanistan,score=1.76963204876998
#mentalhealth,score=1.76963204876998
civilian,score=1.75779759112297
province,score=1.75779759112297
#ptsd,score=1.75350266684009
#gazaunderattack,score=1.75128291010178
projectiles,score=1.75128291010178
traumatic,score=1.75128291010178
anxiety,score=1.75128291010178
#gaza,score=1.74546168784216
#palestinian,score=1.72881005424972
#worrying,score=1.72881005424972
#blizzard,score=1.72881005424972
launches,score=1.72881005424972
powerschool,score=1.72881005424972
frantic,score=1.72881005424972
#paranoid,score=1.71663951862947
#israel,score=1.71504385848557
frightening,score=1.71079154874704
#cia,score=1.71079154874704
fear,score=1.70872329568298
targeted,score=1.70683114753095
#sonervous,score=1.70683114753095
bricking,score=1.70063917728303
twait,score=1.70063917728303
#unorganised,score=1.70063917728303
acceptances,score=1.70063917728303
hyperventilating,score=1.70063917728303
#pressure,score=1.70063917728303
#freakingout,score=1.69850470475439
#biggest,score=1.68958934109644
#indicud,score=1.68958934109644
#algeria,score=1.68958934109644
#worries,score=1.68958934109644
unprepared,score=1.68625043983093
terror,score=1.68625043983093
feared,score=1.68625043983093
panicked,score=1.68368961896925
#bpd,score=1.68368961896925
#breakingnews,score=1.68001989008029
revelations,score=1.68001989008029
#terrified,score=1.67866027056425
#loa,score=1.66427153311215
tmro,score=1.66427153311215
noes,score=1.66427153311215
#flashbacks,score=1.66427153311215
#dread,score=1.66427153311215
injuring,score=1.66427153311215
#frankenstorm,score=1.66427153311215
#cutting,score=1.66427153311215
cortisol,score=1.66427153311215
#youngpeople,score=1.66427153311215
fears,score=1.66427153311215
#soscary,score=1.66427153311215
#doomed,score=1.66427153311215
#terrorists,score=1.66427153311215
#ed,score=1.66427153311215
islamists,score=1.66427153311215
recollection,score=1.66427153311215
#lastminute,score=1.66427153311215
#needtorelax,score=1.66427153311215
#libya,score=1.66427153311215
nervous,score=1.66360061728692
terrified,score=1.65928399160111
#illness,score=1.65184901311359
#injury,score=1.65184901311359
#tweetyourfear,score=1.649672733691
#whatdoido,score=1.649672733691
#disaster,score=1.64657195601275
uneasy,score=1.64446890581597
#drones,score=1.64179867726009
petrified,score=1.64179867726009
#terrorism,score=1.64179867726009
fearing,score=1.63829604670889
gunmen,score=1.6334998744454
#toomuchtodo,score=1.6334998744454
symptom,score=1.6334998744454
#palestine,score=1.62918021330088
palpitations,score=1.6265312051293
#phew,score=1.6265312051293
#less,score=1.6265312051293
scantron,score=1.61548136894272
marky,score=1.61548136894272
missiles,score=1.61548136894272
scariest,score=1.61548136894272
regionals,score=1.61548136894272
civilians,score=1.61548136894272
#toomanypeople,score=1.61548136894272
#nerves,score=1.6090088544371
#psych,score=1.6090088544371
#chaos,score=1.60364691129572
fearless,score=1.60364691129572
#mental,score=1.59913223094119
israeli,score=1.59913223094119
paranoid,score=1.59713223027452
cloak,score=1.5952786616252
moodle,score=1.5952786616252
#tip,score=1.5952786616252
12%,score=1.5952786616252
finalized,score=1.5952786616252
#concerned,score=1.5952786616252
crippling,score=1.5952786616252
algeria,score=1.5952786616252
aghhh,score=1.5952786616252
#afraid,score=1.5952786616252
zzzquil,score=1.5952786616252
#golf,score=1.5952786616252
#uneasy,score=1.5952786616252
#scared,score=1.59178825668543
terrifying,score=1.59151217882972
#nightmares,score=1.58904811187456
nervousness,score=1.58422882543861
#france,score=1.58422882543861
eek,score=1.58422882543861
#stress,score=1.5796496435199
#sos,score=1.57726015612252
#worried,score=1.57641017732082
scared,score=1.5727367235307
#shaking,score=1.57246398385903
#wishmeluck,score=1.56896135330783
anxious,score=1.56873064618949
wounded,score=1.55891101745432
poise,score=1.54648849745577
#doubts,score=1.54648849745577
cbt,score=1.54648849745577
#worry,score=1.54648849745577
ahhhhhhhh,score=1.54648849745577
scares,score=1.54648849745577
#nemo,score=1.54648849745577
jihad,score=1.54648849745577
#soscared,score=1.54648849745577
#nausea,score=1.54648849745577
#undecided,score=1.54648849745577
