#namaste,score=2.16828383214492
#fireflynov11,score=2.16828383214492
#rejoice,score=2.16828383214492
inara,score=2.16828383214492
#carefree,score=2.16828383214492
#dollhouse,score=2.16828383214492
evuuurrr,score=2.16828383214492
#goodhealth,score=2.16828383214492
#browncoats,score=2.16828383214492
fullness,score=2.16828383214492
#innerpeace,score=2.16828383214492
#partner,score=2.16828383214492
#happyheart,score=2.16828383214492
#taoism,score=2.16828383214492
serene,score=2.16828383214492
#triumphant,score=2.16828383214492
#positiveenergy,score=2.16828383214492
#bodfortune,score=2.16828383214492
#browncoatsunite,score=2.16828383214492
#niseko,score=2.16828383214492
#nathanfillion,score=2.16828383214492
#hohoho,score=2.16828383214492
#create,score=2.16828383214492
#ahlersdesigns,score=2.16828383214492
#favoriteholiday,score=2.16828383214492
#wellness,score=2.16828383214492
#makingdisciples,score=2.16828383214492
#slaa,score=2.16828383214492
#sixwordfilmplot,score=2.16828383214492
#btvs,score=2.16828383214492
tribulation,score=2.16828383214492
stillness,score=2.16828383214492
#josswhedon,score=2.16828383214492
#joyous,score=2.16828383214492
#aromatherapy,score=2.16828383214492
reaver,score=2.16828383214492
listneing,score=2.16828383214492
#lovinlife,score=2.16828383214492
#serene,score=2.16828383214492
contented,score=2.16828383214492
#tranquil,score=2.16828383214492
#browncoat,score=2.16828383214492
mucis,score=2.16828383214492
#psychophol,score=2.16828383214492
#pursuit,score=2.16828383214492
#lsd,score=2.16828383214492
#jayne,score=2.16828383214492
fillion,score=2.16828383214492
#twelvestepprogram,score=2.16828383214492
#simplicity,score=2.16828383214492
#elated,score=2.16828383214492
#6degrees,score=2.16828383214492
reavers,score=2.16828383214492
glau,score=2.16828383214492
#joyful,score=2.16680890562385
#serenity,score=2.16627512708384
#firefly,score=2.16614935961629
#joy,score=2.16387576455375
#happy,score=2.1619698826427
#elation,score=2.15915134858165
#happiness,score=2.1582472515442
#tao,score=2.14766454494218
#avengers2,score=2.14581097629286
misbehave,score=2.13319251233365
#shield,score=2.12383206957408
#buffy,score=2.11517400683097
soar,score=2.11347559564992
#merry,score=2.11112541830497
#tranquility,score=2.11112541830497
#buddhism,score=2.10886041167412
#calming,score=2.10765921032848
whedon,score=2.10374531100735
#lights,score=2.10374531100735
#ecstasy,score=2.0941758599912
jayne,score=2.0941758599912
serenity,score=2.08877176921718
#elliegoulding,score=2.08824112447138
#christmasspirit,score=2.08824112447138
#zen,score=2.08251701038749
#uplifting,score=2.08127245515529
#peaceofmind,score=2.08127245515529
#prosperity,score=2.08127245515529
#mountains,score=2.08127245515529
#wealth,score=2.08127245515529
#peaceful,score=2.0807279411206
#angel,score=2.07973043480347
joss,score=2.07933634612842
#festive,score=2.07297365234059
#selfworth,score=2.07297365234059
#goodvibes,score=2.07297365234059
#clarity,score=2.07297365234059
mal,score=2.07297365234059
#avengers,score=2.07297365234059
firefly,score=2.07297365234059
#osu,score=2.06292331648709
#cheerful,score=2.06292331648709
#warmth,score=2.06292331648709
rejoice,score=2.0524520166198
#sunrise,score=2.05050079648854
seuss,score=2.05050079648854
#atpeace,score=2.05050079648854
#trees,score=2.05050079648854
#peace,score=2.04959364940371
#tistheseason,score=2.04312068919091
#successful,score=2.04045046063503
#bliss,score=2.04045046063503
#lover,score=2.0347524395204
#candles,score=2.0347524395204
#content,score=2.0347524395204
#livelife,score=2.0347524395204
#nostress,score=2.0347524395204
#calm,score=2.0347524395204
#contented,score=2.0347524395204
joyful,score=2.03194738859279
#smiling,score=2.01800162909558
#yoga,score=2.01609201680299
brisk,score=2.01413315231766
#blissful,score=2.01413315231766
#nocomplaints,score=2.01413315231766
#hotyoga,score=2.01413315231766
stargazing,score=2.01413315231766
#ministry,score=2.01413315231766
#sobriety,score=2.01413315231766
contentment,score=2.01413315231766
relight,score=2.01413315231766
#sweets,score=2.01413315231766
gracias,score=2.01413315231766
bora,score=2.01413315231766
#spouse,score=2.01413315231766
#praisejesus,score=2.01413315231766
#soothing,score=2.01413315231766
saya,score=2.01413315231766
meditating,score=2.01413315231766
#noel,score=2.01413315231766
#blessings,score=2.00794118206974
#relaxation,score=2.00320408178547
hardships,score=2.00122974748175
dalai,score=2.00122974748175
#thelittlethings,score=2.00122974748175
#sunshine,score=1.99643357521826
#jolly,score=1.98596227535096
fortunes,score=1.98596227535096
unspeakable,score=1.98596227535096
joyous,score=1.97904183250639
operative,score=1.97412781770396
#smiles,score=1.97412781770396
#christmasmusic,score=1.96761313668277
#goodlife,score=1.96761313668277
yehey,score=1.96761313668277
#newbeginnings,score=1.96761313668277
theee,score=1.96064446736667
kaylee,score=1.96064446736667
#rest,score=1.96064446736667
#castle,score=1.96064446736667
joy,score=1.94730478384028
#weightloss,score=1.94514028083071
#goodnews,score=1.94514028083071
#smiley,score=1.94514028083071
#hearts,score=1.94514028083071
#wash,score=1.94514028083071
#relaxed,score=1.93466898096341
#smile,score=1.92142375421339
#appreciated,score=1.91696940386401
#positivity,score=1.91696940386401
#euphoria,score=1.91696940386401
#calmness,score=1.91696940386401
#soppy,score=1.91696940386401
#praisegod,score=1.91696940386401
starry,score=1.91696940386401
sobriety,score=1.91696940386401
#rainbows,score=1.91696940386401
gazing,score=1.91696940386401
#tearsofjoy,score=1.91696940386401
#holidayseason,score=1.91696940386401
peaceful,score=1.90893226631936
#familytime,score=1.90877263665983
#quiet,score=1.90877263665983
#hallelujah,score=1.90591956767743
kjv,score=1.90591956767743
#harmony,score=1.90001984555024
#happyholidays,score=1.89635011666128
