#gray,score=2.22058210084883
#stillbirth,score=2.22058210084883
#dreary,score=2.22058210084883
#triund,score=2.22058210084883
#bereavement,score=2.22058210084883
depress,score=2.22058210084883
janeiro,score=2.22058210084883
#widow,score=2.22058210084883
witout,score=2.22058210084883
#nosun,score=2.22058210084883
#mourning,score=2.22058210084883
bereavement,score=2.22058210084883
#petloss,score=2.22058210084883
#hospice,score=2.22058210084883
#overcast,score=2.22058210084883
#ndtv,score=2.22058210084883
#sorrowful,score=2.22058210084883
#lastjerzday,score=2.22058210084883
#thenational,score=2.22058210084883
#childloss,score=2.22058210084883
#gloomy,score=2.21991073459334
#grief,score=2.21919609924095
#sadness,score=2.21745416586187
#sad,score=2.21693977301949
#sorrow,score=2.2078430750714
#rainy,score=2.20223296218064
#cloudy,score=2.20188996783668
#grey,score=2.1717919366794
magpie,score=2.16501224969402
thankss,score=2.15604357971126
#connecticut,score=2.15158922936188
#foggy,score=2.1335707238592
#melancholy,score=2.1335707238592
#dull,score=2.1335707238592
thanksss,score=2.12961032264311
grieve,score=2.12527192104451
#babyloss,score=2.11522158519101
#loss,score=2.10279906519245
followback,score=2.09428837552454
#idkwhattodo,score=2.08705070822431
fallacy,score=2.06643142102157
depicts,score=2.06643142102157
mccready,score=2.06643142102157
gloomy,score=2.05861277290378
#summertime,score=2.05352801618567
eeyore,score=2.05352801618567
grieving,score=2.04995658381807
#rainyday,score=2.04469143438517
#rainydays,score=2.03826054405488
constituency,score=2.01991140538668
mislead,score=2.01991140538668
affective,score=2.01991140538668
cowardice,score=2.01991140538668
#windy,score=2.01578768820282
#heartache,score=2.01578768820282
aspca,score=1.99743854953462
#dark,score=1.99743854953462
#clouds,score=1.99743854953462
#empty,score=1.99743854953462
sorrow,score=1.9841933227846
#rip,score=1.98063143121824
#fog,score=1.97942004403194
emosh,score=1.96926767256793
#loneliness,score=1.96275299154673
#rain,score=1.95936660158521
#chilly,score=1.95821783638134
#flyleaf,score=1.95821783638134
forums,score=1.93290002839705
#deprived,score=1.93290002839705
#micropoetry,score=1.93290002839705
younow,score=1.93290002839705
#grieving,score=1.93290002839705
#feelingdown,score=1.93290002839705
cebu,score=1.93290002839705
#lonley,score=1.93290002839705
saddens,score=1.93290002839705
overcast,score=1.93290002839705
#missthem,score=1.9021283697303
#despair,score=1.89034041397825
cloudy,score=1.88844826582622
#dontknowwhattodo,score=1.88410986422762
#raining,score=1.87227540658062
grief,score=1.86258352997959
#breakup,score=1.85285732072351
#emo,score=1.85285732072351
#prayfornewtown,score=1.84901854441635
#regretful,score=1.81511699274067
#30rock,score=1.81511699274067
#fringe,score=1.81511699274067
belcher,score=1.81511699274067
#leaving,score=1.81511699274067
#funeral,score=1.81511699274067
#agony,score=1.81511699274067
seasonal,score=1.81511699274067
\\3,score=1.81511699274067
#noplans,score=1.81511699274067
sadness,score=1.78771801855255
#fall,score=1.77874934856979
tou,score=1.76859697710577
#torn,score=1.76859697710577
reflects,score=1.76859697710577
condolences,score=1.7505784716031
icarly,score=1.7505784716031
#imissyou,score=1.74515840413376
#missing,score=1.73507428506713
damper,score=1.72810561575104
#wet,score=1.72656359539922
#depressing,score=1.72479435444738
#lonely,score=1.70975647708284
#shooting,score=1.70975647708284
noooooooo,score=1.70975647708284
#heartbreak,score=1.70975647708284
alas,score=1.70975647708284
rainy,score=1.70319907653668
#sandyhook,score=1.69733395708428
legislation,score=1.68995384978666
#missingyou,score=1.68995384978666
#brokenheart,score=1.68995384978666
#crushed,score=1.68995384978666
drifted,score=1.68158560011614
motivating,score=1.68158560011614
mourn,score=1.68158560011614
#hmv,score=1.68158560011614
hospice,score=1.68158560011614
paulo,score=1.68158560011614
emptiness,score=1.68158560011614
depressing,score=1.67945112758751
forks,score=1.67403839448076
#hopeless,score=1.66096631291341
#guilt,score=1.64521795594527
#ctshooting,score=1.64521795594527
hmv,score=1.64521795594527
sorrows,score=1.64076360559589
/3,score=1.63420289571459
weep,score=1.63279543594671
matches,score=1.63157517954148
#missyou,score=1.63081327474272
saddest,score=1.6297137694093
#weather,score=1.62751837884587
#misshim,score=1.62096097829971
#death,score=1.61900211381438
weather,score=1.61657260043983
#r,score=1.61444629727852
#lastday,score=1.61444629727852
#singlelife,score=1.61444629727852
waaah,score=1.61444629727852
melancholy,score=1.61444629727852
#anguish,score=1.61444629727852
#ifonly,score=1.61444629727852
#goodbye,score=1.61444629727852
saddened,score=1.61444629727852
#angst,score=1.61444629727852
#needalife,score=1.61444629727852
jai,score=1.61444629727852
bargaining,score=1.60154289244261
#hostess,score=1.60154289244261
